year,keyword,hashtag,count
2014,iyi tarım uygulamaları,#usak,1
2014,iyi tarım uygulamaları,#ötekigündem,1
2014,onarıcı tarım,#ff,1
2014,onarıcı tarım,#geleceğiyeşertiyoruz,1
2014,permakültür,#permakültür,56
2014,permakültür,#bahçem,18
2014,permakültür,#organik,7
2014,permakültür,#ekoloji,4
2014,permakültür,#studentsgogreen,4
2014,permakültür,#doğa,3
2014,permakültür,#healthfood,3
2014,permakültür,#kahvaltı,3
2014,permakültür,#meyve,3
2014,permakültür,#sağlık,3
2014,permakültür,#sebze,3
2014,permakültür,#ekoköy,2
2014,permakültür,#hatırlatma,2
2014,permakültür,#marmariç,2
2014,permakültür,#sürdürülebilir,2
2014,permakültür,#çanakkale,2
2014,permakültür,#44222635,1
2014,permakültür,#alternatifyaşam,1
2014,permakültür,#apple,1
2014,permakültür,#dikkatlipazartesi,1
2014,permakültür,#dogalkahramanlar,1
2014,permakültür,#dünya,1
2014,permakültür,#halkasanat,1
2014,permakültür,#insan,1
2014,permakültür,#ipd2014,1
2014,permakültür,#ipermakulturkolektifi,1
2014,permakültür,#istanbulpermakültürkolektifi,1
2014,permakültür,#kompost,1
2014,permakültür,#kuraklık,1
2014,permakültür,#nature,1
2014,permakültür,#odtülü,1
2014,permakültür,#organicfarm,1
2014,permakültür,#pdc,1
2014,permakültür,#pep,1
2014,permakültür,#permiesoncampus,1
2014,permakültür,#pkkolektifi,1
2014,permakültür,#simplepleasures,1
2014,permakültür,#sineksekiz,1
2014,permakültür,#slowfood,1
2014,permakültür,#steveread,1
2014,permakültür,#su,1
2014,permakültür,#tarım,1
2014,permakültür,#tasarım,1
2014,permakültür,#tema,1
2014,permakültür,#terramadre,1
2014,permakültür,#tohumkampi,1
2014,permakültür,#toprak,1
2014,permakültür,#tree,1
2014,permakültür,#vegan,1
2014,permakültür,#yağmur,1
2014,permakültür,#yaşam,1
2014,permakültür,#yeşil,1
2014,permakültür,#yga,1
2014,permakültür,#ygakamplari,1
2014,permakültür,#çevre,1
2014,permakültür,#çevrebilimi,1
2014,pestisit kullanımı,#tarım,1
2014,pozitif tarım,#eurusd,1
2014,pozitif tarım,#pozitif,1
2014,pozitif tarım,#sayı7,1
2014,pozitif tarım,#tatuta,1
2014,pozitif tarım,#yaşam,1
2014,sürdürülebilir tarım,#tarım,12
2014,sürdürülebilir tarım,#ziraatmuehendisleri6500kadro,10
2014,sürdürülebilir tarım,#turkeyspotlight,8
2014,sürdürülebilir tarım,#gthb20bin,7
2014,sürdürülebilir tarım,#gthb10bin,5
2014,sürdürülebilir tarım,#pepsicohasatta,5
2014,sürdürülebilir tarım,#sürdürülebilir,4
2014,sürdürülebilir tarım,#gıda,3
2014,sürdürülebilir tarım,#doğa,2
2014,sürdürülebilir tarım,#horizon2020,2
2014,sürdürülebilir tarım,#sürdürülebilirtarim,2
2014,sürdürülebilir tarım,#500tarımekonomisikadro,1
2014,sürdürülebilir tarım,#akp,1
2014,sürdürülebilir tarım,#barınma,1
2014,sürdürülebilir tarım,#benimmedyam,1
2014,sürdürülebilir tarım,#cepecevre,1
2014,sürdürülebilir tarım,#dupont,1
2014,sürdürülebilir tarım,#ekoloji,1
2014,sürdürülebilir tarım,#ekolojik,1
2014,sürdürülebilir tarım,#ekonomi,1
2014,sürdürülebilir tarım,#et,1
2014,sürdürülebilir tarım,#gthb6bin,1
2014,sürdürülebilir tarım,#halide,1
2014,sürdürülebilir tarım,#horizion2020,1
2014,sürdürülebilir tarım,#izmir,1
2014,sürdürülebilir tarım,#kadın,1
2014,sürdürülebilir tarım,#kop,1
2014,sürdürülebilir tarım,#kuraklık,1
2014,sürdürülebilir tarım,#nijer,1
2014,sürdürülebilir tarım,#organikkongre,1
2014,sürdürülebilir tarım,#permakültür,1
2014,sürdürülebilir tarım,#sağlık,1
2014,sürdürülebilir tarım,#sulama,1
2014,sürdürülebilir tarım,#sürdürülebilirlik,1
2014,sürdürülebilir tarım,#sürdürülebilirtarım,1
2014,sürdürülebilir tarım,#sürdürülebiliryaşam,1
2014,sürdürülebilir tarım,#süt,1
2014,sürdürülebilir tarım,#tarih,1
2014,sürdürülebilir tarım,#tarımbakanlığına10bin,1
2014,sürdürülebilir tarım,#tarımdestekleri,1
2014,sürdürülebilir tarım,#tdt,1
2014,sürdürülebilir tarım,#turkeysportlight,1
2014,sürdürülebilir tarım,#türkiye,1
2014,sürdürülebilir tarım,#yaşam,1
2014,sürdürülebilir tarım,#yeşil,1
